COURSE_COSE,COURSE_ENGLISH_FULL_NAME,COURSE_ENGLISH_SHORT_NAME,COURSE_FRENCH_FULL_NAME,COURSE_FRENCH_SHORT_NAME
IOP0161,General Mechanics 16,General Mechanics 16,Mecanique generale 16,Mecanique generale 16
INF3920,INF Project E,INF Project E,INF - Projet E,INF - Projet E
IOP1851,Construction Services 16,Construction Services 16,Serv. de construct.16,Serv. de construct.16
JRH9320,Drama 9,Drama 9,Art dramatique 9,Art dramatique 9
KAE1574,Business Services 10-4,Business Services 10-4,Services commerciaux 10-4,Services comm. 10-4
KAE2573,Auto Services 20-4,Auto Services 20-4,Service automobile 20-4,Services auto 20-4
KAE2588,Landscaping 20-4,Landscaping 20-4,Aménagement paysager 20-4,Amenagement paysager 20-4
KAE2587,Greenhouse and Nursery 20-4,Greenhouse & Nur 20-4,Serres et pépinières 20-4,Serres et pepinieres 20-4
KAE2582,Esthetics 20-4,Esthetics 20-4,Esthétique 20-4,Esthetique 20-4
KAE3576,Sales and Service 30-4,Sales and Service 30-4,Vente et après-vente 30-4,Vente et apres-vente 30-4
KAE3579,Construction Systems 30-4,Construction Sys 30-4,Procédés de construction 30-4,Procedes const. 30-4
KAE3591,Agriculture 30-4,Agriculture 30-4,Agriculture 30-4,Agriculture 30-4
LAT7370,Latin 7,Latin 7,Latin 7,Latin 7
LAT3325,Latin 30,Latin 30,Latin 30,Latin 30
KAE3597,Workplace Practicum 30-4D,Workplace Pract 30-4D,Stage en milieu de travail 30-4,Stage 30-4D
LDC1000,Holistic Health 15,Holistic Health 15,Santé holistique 15,Santé holistique 15
LDC1146,Learning Strategies 15,Learning Strategies 15,Strategies d'appr. 15,Strategies d'appr. 15
LDC1297,Performance Psych 15,Performance Psych 15,Psychologie de la performance sportive 15,Psych perform sport 15
LDC1607,Automotive Repair 15,Automotive Repair 15,Reparation autos 15,Reparation autos 15
LDC1604,Electrician 15,Electrician 15,Electricien 15,Electricien 15
ABA3400,Batteries, Trim & Tools,Batteries, Trim & Tools,Piles, style et outils,Piles, style et outils
ABA3450,ABA Practicum D,ABA Practicum D,ABA - Cours pratique D,ABA - Cours pratique D
AGR3910,AGR Project D,AGR Project D,AGR - Projet D,AGR - Projet D
ASA3430,Alignment Procedures,Alignment Procedures,Procédures d'alignement,Procedures d'alignement
BKA3435,Cookies,Cookies,Biscuits,Biscuits
BKA3410,Raised Goods Practical 1,Raised Goods Pract 1,Pâtes levées - Pratique 1,Pates levees Prat 1
BKA3465,BKA Practicum A,BKA Practicum A,BKA - Cours pratique A,BKA - Cours pratique A
BUS2541,Basic Business 20,Basic Business 20,Fondem. des affaires 20,Fondem. des affaires 20
BUS2545,Office Procedures 20,Office Procedures 20,Procedure administ. 20,Procedure administ. 20
BUS2543,Business Communication 20,Business Communication 20,Communic. comm. 20,Communic. comm. 20
CJS3400,Criminal Justric Systems,Criminal Justice Systems,Système de la justice pénale,Système de justice pénale
CMA3415,Abrasives & Joinery,Abrasives & Joinery,Abrasifs et menuiserie,Abrasifs et menuiserie
CMA3400,Properties of Wood,Properties of Wood,Propriétés du bois,Propriétés du bois
CMA3465,Trade Mathematics,Trade Mathematics,Mathématiques du métier,Mathématiques du métier
CMH3040,Prenatal & Postnatal Care,Prenatal & Postnatal Care,Soins pre/postnatals,Soins pre/postnatals
CMH3020,Parenting,Parenting,L'art d'etre parent,L'art d'etre parent
